"Code","Length","Gear","Species","Group","Ref","Absolute","Abs.l.95","Abs.u.95","Efficiency","Eff.l.95","Eff.u.95"
"GRP1",0,"GOV","GRP1","GRP1","no",NA,NA,NA,0,NA,NA
"GRP1",1,"GOV","GRP1","GRP1","no",NA,NA,NA,0.00572434729975551,NA,NA
"GRP1",2,"GOV","GRP1","GRP1","no",NA,NA,NA,0.011448694599511,NA,NA
"GRP1",3,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0171730418992665,NA,NA
"GRP1",4,"GOV","GRP1","GRP1","no",NA,NA,NA,0.022897389199022,NA,NA
"GRP1",5,"GOV","GRP1","GRP1","Ref",0.0427256742265606,NA,NA,0.0286217364987776,0.00746107598036355,0.0497823970171916
"GRP1",6,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0282305377400408,0.00763663280604233,0.0488244426740392
"GRP1",7,"GOV","GRP1","GRP1","no",NA,NA,NA,0.027839338981304,0.00779787961778964,0.0478807983448183
"GRP1",8,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0274481400594934,0.00794360040581521,0.0469526797131716
"GRP1",9,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0270569370608386,0.00807247827911356,0.0460413958425636
"GRP1",10,"GOV","GRP1","GRP1","Ref",0.0663198811879945,NA,NA,0.0266657223208724,0.00818309673860239,0.0451483479031423
"GRP1",11,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0262744880120538,0.0082739403080874,0.0442750357160202
"GRP1",12,"GOV","GRP1","GRP1","no",NA,NA,NA,0.025883226306842,0.00834339401506455,0.0434230585986194
"GRP1",13,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0254919297299165,0.00838974431382847,0.0425941151460045
"GRP1",14,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0251005989070295,0.00841118152285536,0.0417900162912036
"GRP1",15,"GOV","GRP1","GRP1","Ref",0.000140295027305496,NA,NA,0.0247092425650056,0.00840581675287162,0.0410126683771396
"GRP1",16,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0243178697828901,0.00837171085276771,0.0402640287130125
"GRP1",17,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0239264896397281,0.00830690475431361,0.0395460745251427
"GRP1",18,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0235351110881052,0.00820945263847197,0.0388607695377384
"GRP1",19,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0231437401720324,0.00807745229528036,0.0382100280487845
"GRP1",20,"GOV","GRP1","GRP1","Ref",0.00506118815917999,NA,NA,0.0227523800269468,0.00790909210608676,0.0375956679478067
"GRP1",21,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0223610336618252,0.00770271500618476,0.0370193523174657
"GRP1",22,"GOV","GRP1","GRP1","no",NA,NA,NA,0.021969704085645,0.00745687541613228,0.0364825327551578
"GRP1",23,"GOV","GRP1","GRP1","no",NA,NA,NA,0.02157839428981,0.00717038906934746,0.0359863995102726
"GRP1",24,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0211871068615385,0.00684236797228531,0.0355318457507916
"GRP1",25,"GOV","GRP1","GRP1","Ref",0.0105876585632707,NA,NA,0.0207958439838633,0.00647225699524974,0.0351194309724769
"GRP1",26,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0204046078222442,0.00605986893299099,0.0347493467114973
"GRP1",27,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0200134005421406,0.00560539532167804,0.0344214057626031
"GRP1",28,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0196222242635647,0.00510939559405192,0.0341350529330775
"GRP1",29,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0192310800612362,0.00457276140559568,0.0338893987168767
"GRP1",30,"GOV","GRP1","GRP1","Ref",0.0138402654849571,NA,NA,0.0188399679645823,0.00399668004372227,0.0336832558854422
"GRP1",31,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0184488879575827,0.00338260008083066,0.0335151758343348
"GRP1",32,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0180578400242174,0.00273218157458417,0.0333834984738506
"GRP1",33,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0176668242077017,0.00204723932228717,0.0332864090931162
"GRP1",34,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0172758419136729,0.00132968298355052,0.0332220008437953
"GRP1",35,"GOV","GRP1","GRP1","Ref",0.0166160866813937,NA,NA,0.01688489591019,0.000581470098056043,0.033188321722324
"GRP1",36,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0164939890245478,-0.000195428359626309,0.033183406408722
"GRP1",37,"GOV","GRP1","GRP1","no",NA,NA,NA,0.016103124084041,-0.000999061332047003,0.0332053095001291
"GRP1",38,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0157123036646204,-0.00182752862715701,0.0332521359563979
"GRP1",39,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0153215245613256,-0.00267902314264077,0.033322072265292
"GRP1",40,"GOV","GRP1","GRP1","Ref",0.0110869555819922,NA,NA,0.0149307777882851,-0.00355184779398486,0.0334134033705551
"GRP1",41,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0145400541082833,-0.00444440467344166,0.0335245128900084
"GRP1",42,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0141493442841048,-0.00535519536957333,0.033653883937783
"GRP1",43,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0137586392709761,-0.00628282009253824,0.0338000986344904
"GRP1",44,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0133679344502893,-0.00722597048370912,0.0339618393842877
"GRP1",45,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0129772296296025,-0.00818343088881148,0.0341378901480165
"GRP1",46,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0129772296296025,-0.00818343088881148,0.0341378901480165
"GRP1",47,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0129772296296025,-0.00818343088881148,0.0341378901480165
"GRP1",48,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0129772296296025,-0.00818343088881148,0.0341378901480165
"GRP1",49,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0129772296296025,-0.00818343088881148,0.0341378901480165
"GRP1",50,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0129772296296025,-0.00818343088881148,0.0341378901480165
"GRP1",51,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0129772296296025,-0.00818343088881148,0.0341378901480165
"GRP1",52,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0129772296296025,-0.00818343088881148,0.0341378901480165
"GRP1",53,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0129772296296025,-0.00818343088881148,0.0341378901480165
"GRP1",54,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0129772296296025,-0.00818343088881148,0.0341378901480165
"GRP1",55,"GOV","GRP1","GRP1","no",NA,NA,NA,0.0129772296296025,-0.00818343088881148,0.0341378901480165
"GRP1",0,"BEAM","GRP1","GRP1","no",NA,NA,NA,0,NA,NA
"GRP1",1,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.0435669333111536,NA,NA
"GRP1",2,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.0871338666223072,NA,NA
"GRP1",3,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.130700799933461,NA,NA
"GRP1",4,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.174267733244614,NA,NA
"GRP1",5,"BEAM","GRP1","GRP1","no",0.196839234972911,0.176490703793285,0.219533854146233,0.217834666555768,0.133037588741173,0.302631744370363
"GRP1",6,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666555551,0.133037588744319,0.302631744366783
"GRP1",7,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666555335,0.133037588747293,0.302631744363376
"GRP1",8,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666555118,0.133037588750095,0.302631744360141
"GRP1",9,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666554901,0.133037588752724,0.302631744357079
"GRP1",10,"BEAM","GRP1","GRP1","no",0.327442894434734,0.29287161516444,0.366095051770708,0.217834666554685,0.13303758875518,0.302631744354189
"GRP1",11,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666554468,0.133037588757464,0.302631744351472
"GRP1",12,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666554251,0.133037588759575,0.302631744348928
"GRP1",13,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666554035,0.133037588761514,0.302631744346555
"GRP1",14,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666553818,0.13303758876328,0.302631744344355
"GRP1",15,"BEAM","GRP1","GRP1","no",0.000568286404135807,0.00047374877878345,0.000681689223463362,0.217834666553601,0.133037588764874,0.302631744342328
"GRP1",16,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666553384,0.133037588766296,0.302631744340472
"GRP1",17,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666553167,0.133037588767545,0.30263174433879
"GRP1",18,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666552951,0.133037588768622,0.302631744337279
"GRP1",19,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666552734,0.133037588769526,0.302631744335941
"GRP1",20,"BEAM","GRP1","GRP1","no",0.263612458072779,0.228031258213654,0.304745623891891,0.217834666552517,0.133037588770258,0.302631744334776
"GRP1",21,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.2178346665523,0.133037588770817,0.302631744333783
"GRP1",22,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666552083,0.133037588771204,0.302631744332962
"GRP1",23,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666551866,0.133037588771418,0.302631744332314
"GRP1",24,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666551649,0.13303758877146,0.302631744331839
"GRP1",25,"BEAM","GRP1","GRP1","no",0.398556014698401,0.347659344855949,0.456903860640045,0.217834666551432,0.133037588771329,0.302631744331535
"GRP1",26,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666551215,0.133037588771026,0.302631744331404
"GRP1",27,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666550998,0.13303758877055,0.302631744331446
"GRP1",28,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666550781,0.133037588769902,0.30263174433166
"GRP1",29,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666550564,0.133037588769081,0.302631744332047
"GRP1",30,"BEAM","GRP1","GRP1","no",0.249326405401461,0.213106348352269,0.291702508681983,0.217834666550347,0.133037588768088,0.302631744332606
"GRP1",31,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666550129,0.133037588766922,0.302631744333337
"GRP1",32,"BEAM","GRP1","GRP1","no",NA,NA,NA,0.217834666549912,0.133037588765583,0.302631744334241
