,ITIS_TSN,ScientificName_ITIS,WoRMS_AphiaID,ScientificName_WoRMS
1,172894,Platichthys flesus,127141,Platichthys flesus
2,164712,Gadus morhua,126436,Gadus morhua
3,172902,Pleuronectes platessa,127143,Pleuronectes platessa
4,172748,Scophthalmus maximus,127149,Scophthalmus maximus
5,161722,Clupea harengus,126417,Clupea harengus
6,172414,Scomber scombrus,127023,Scomber scombrus
7,161789,Sprattus sprattus,126425,Sprattus sprattus
8,164748,Enchelyopus cimbrius,126450,Enchelyopus cimbrius
9,164758,Merlangius merlangus,126438,Merlangius merlangus
10,650172,Sander lucioperca,151308,Sander lucioperca
11,165324,Zoarces viviparus,127123,Zoarces viviparus
12,631023,Lumpenus lampretaeformis,154675,Lumpenus lampretaeformis
13,172881,Limanda limanda,127139,Limanda limanda
14,167255,Cottus gobio,127196,Cottus gobio
15,164728,Pollachius pollachius,126440,Pollachius pollachius
16,161996,Salmo salar,127186,Salmo salar
17,162039,Osmerus eperlanus,126736,Osmerus eperlanus
18,167612,Cyclopterus lumpus,127214,Cyclopterus lumpus
19,167454,Agonus cataphractus,127190,Agonus cataphractus
20,167044,Eutrigla gurnardus,150637,Eutrigla gurnardus
21,171698,Callionymus lyra,126792,Callionymus lyra
22,164744,Melanogrammus aeglefinus,126437,Melanogrammus aeglefinus
23,164795,Merluccius merluccius,126484,Merluccius merluccius
24,167318,Myoxocephalus scorpius,127203,Myoxocephalus scorpius
25,167316,Myoxocephalus quadricornis,254529,Myoxocephalus quadricornis
26,164754,Trisopterus minutus,126446,Trisopterus minutus
27,173002,Solea solea,127160,Solea solea
28,164727,Pollachius virens,126441,Pollachius virens
29,172749,Scophthalmus rhombus,127150,Scophthalmus rhombus
30,161128,Anguilla anguilla,126281,Anguilla anguilla
31,171676,Ammodytes tobianus,126752,Ammodytes tobianus
32,161997,Salmo trutta,127187,Salmo trutta
33,171682,Hyperoplus lanceolatus,126756,Hyperoplus lanceolatus
34,161950,Coregonus lavaretus,127180,Coregonus lavaretus
35,165215,Zoarcidae,125575,Zoarcidae
36,166365,Gasterosteus aculeatus,126505,Gasterosteus aculeatus
37,159719,Lampetra fluviatilis,101172,Lampetra fluviatilis
38,163613,Scardinius erythrophthalmus,154165,Scardinius erythrophthalmus
39,168470,Perca fluviatilis,151353,Perca fluviatilis
40,163661,Blicca bjoerkna,154274,Blicca bjoerkna
41,639696,Vimba vimba,283150,Vimba vimba
42,163761,Rutilus rutilus,154333,Rutilus rutilus
43,168588,Trachurus trachurus,126822,Trachurus trachurus
44,164755,Trisopterus luscus,126445,Trisopterus luscus
45,169418,Mullus surmuletus,126986,Mullus surmuletus
46,171670,Ammodytidae,125516,Ammodytidae
47,164756,Trisopterus esmarkii,126444,Trisopterus esmarkii
48,172888,Microstomus kitt,127140,Microstomus kitt
49,171699,Callionymus maculatus,126793,Callionymus maculatus
50,172873,Glyptocephalus cynoglossus,127136,Glyptocephalus cynoglossus
51,172877,Hippoglossoides platessoides,127137,Hippoglossoides platessoides
52,166464,Syngnathus acus,127387,Syngnathus acus
53,172805,Arnoglossus laterna,127126,Arnoglossus laterna
54,161989,Oncorhynchus mykiss,127185,Oncorhynchus mykiss
55,166401,Spinachia spinachia,126508,Spinachia spinachia
56,170992,Trachinus draco,127082,Trachinus draco
57,167039,Chelidonichthys lucerna,127262,Chelidonichthys lucerna
58,564149,Amblyraja radiata,105865,Amblyraja radiata
59,171982,Pomatoschistus microps,126927,Pomatoschistus microps
60,160617,Squalus acanthias,105923,Squalus acanthias
61,171978,Pomatoschistus minutus,126928,Pomatoschistus minutus
62,166463,Syngnathus rostellatus,127389,Syngnathus rostellatus
63,171980,Pomatoschistus pictus,126930,Pomatoschistus pictus
64,614239,Symphodus melops,273571,Symphodus melops
65,162187,Maurolicus muelleri,127312,Maurolicus muelleri
66,171671,Ammodytes,125909,Ammodytes
67,167578,Liparis liparis,127219,Liparis liparis
68,166363,Gasterosteidae,125476,Gasterosteidae
69,NA,Gymnocephalus cernua,405451,Gymnocephalus cernua
70,163580,Leuciscus leuciscus,154599,Leuciscus leuciscus
71,171833,Gobius,125988,Gobius
72,166320,Capros aper,127419,Capros aper
73,163663,Alburnus alburnus,154285,Alburnus alburnus
74,163666,Abramis brama,154281,Abramis brama
75,161831,Engraulis encrasicolus,126426,Engraulis encrasicolus
76,162071,Argentina sphyraena,126716,Argentina sphyraena
77,161716,Alosa fallax,126415,Alosa fallax
78,166595,Nerophis ophidion,127385,Nerophis ophidion
79,171341,Anarhichas lupus,126758,Anarhichas lupus
80,173021,Buglossidium luteum,127153,Buglossidium luteum
81,171645,Pholis gunnellus,126996,Pholis gunnellus
82,164765,Gaidropsarus vulgaris,126458,Gaidropsarus vulgaris
83,160065,Scyliorhinus canicula,105814,Scyliorhinus canicula
84,164760,Molva molva,126461,Molva molva
85,160901,Raja clavata,105883,Raja clavata
86,171677,Ammodytes marinus,126751,Ammodytes marinus
87,171746,Gobiidae,125537,Gobiidae
88,159722,Petromyzon marinus,101174,Petromyzon marinus
89,161813,Sardina pilchardus,126421,Sardina pilchardus
90,172835,Lepidorhombus whiffiagonis,127146,Lepidorhombus whiffiagonis
91,170477,Labridae,125541,Labridae
92,164501,Lophius piscatorius,126555,Lophius piscatorius
93,166443,Syngnathidae,125606,Syngnathidae
94,572694,Alosa agone,416357,Alosa agone
95,164740,Brosme brosme,126447,Brosme brosme
96,164725,Lota lota,154388,Lota lota
97,162139,Esox lucius,154210,Esox lucius
98,171692,Callionymus,125930,Callionymus
99,172714,Bothidae,125576,Bothidae
100,97317,Nephrops norvegicus,107254,Nephrops norvegicus
101,171850,Gobius niger,126892,Gobius niger
102,172829,Zeugopterus punctatus,127151,Zeugopterus punctatus
103,644927,Entelurus aequoreus,127379,Entelurus aequoreus
104,564126,Dipturus batis,105869,Dipturus batis
105,165284,Lycodes vahlii,127118,Lycodes vahlii
106,172933,Hippoglossus hippoglossus,127138,Hippoglossus hippoglossus
107,172033,Aphia minuta,126868,Aphia minuta
108,170317,Dicentrarchus labrax,126975,Dicentrarchus labrax
109,170733,Ctenolabrus rupestris,126964,Ctenolabrus rupestris
110,159772,Myxine glutinosa,101170,Myxine glutinosa
111,166467,Syngnathus typhle,127393,Syngnathus typhle
112,692071,Chelidonichthys cuculus,127259,Chelidonichthys cuculus
113,161963,Coregonus albula,127178,Coregonus albula
114,169419,Mullus barbatus,126985,Mullus barbatus
115,166387,Pungitius pungitius,126507,Pungitius pungitius
116,623023,Ciliata mustela,126448,Ciliata mustela
117,171977,Pomatoschistus,125999,Pomatoschistus
118,172980,Soleidae,125581,Soleidae
119,162064,Argentina silus,126715,Argentina silus
120,164751,Phycis blennoides,126501,Phycis blennoides
121,171681,Hyperoplus,125911,Hyperoplus
122,172831,Phrynorhombus norvegicus,127147,Phrynorhombus norvegicus
123,180473,Phocoena phocoena,137117,Phocoena phocoena
124,166287,Zeus faber,127427,Zeus faber
125,622706,Argyropelecus olfersii,274967,Argyropelecus olfersii
126,160067,Scyliorhinus stellaris,105815,Scyliorhinus stellaris
127,171603,Leptoclinus maculatus,127072,Leptoclinus maculatus
128,170371,Chelon labrosus,126977,Chelon labrosus
129,165594,Belone belone,126375,Belone belone
130,170737,Labrus bergylta,126965,Labrus bergylta
131,160670,Etmopterus spinax,105913,Etmopterus spinax
132,636404,Lipophrys pholis,126768,Lipophrys pholis
133,160242,Mustelus mustelus,105822,Mustelus mustelus
134,98681,Cancer pagurus,107276,Cancer pagurus
135,167196,Cottidae,125589,Cottidae
136,166025,Atherina presbyter,272030,Atherina presbyter
137,172072,Neogobius melanostomus,126916,Neogobius melanostomus
138,166356,Regalecus glesne,126525,Regalecus glesne
139,170742,Acantholabrus palloni,126957,Acantholabrus palloni
140,171683,Hyperoplus immaculatus,126755,Hyperoplus immaculatus
141,167390,Taurulus bubalis,127204,Taurulus bubalis
142,92646,Saduria entomon,119034,Saduria entomon
143,79683,Pecten maximus,140712,Pecten maximus
144,167550,Liparis,126160,Liparis
145,82326,Cephalopoda,11707,Cephalopoda
146,NA,Corvomeyenia carolinensis,167039,Corvomeyenia carolinensis
147,164774,Micromesistius poutassou,126439,Micromesistius poutassou
148,172067,Neogobius,125996,Neogobius
149,79454,Mytilus edulis,140480,Mytilus edulis
150,NA,Acanthascus (Rhabdocalyptus) mirabilis,171982,Acanthascus (Rhabdocalyptus) mirabilis
151,164777,Raniceps raninus,126442,Raniceps raninus
152,96967,Pandalus borealis,107649,Pandalus borealis
153,167368,Triglops,126154,Triglops
154,NA,Pomatoschistus flavescens,1526389,Pomatoschistus flavescens
155,171680,Gymnammodytes semisquamatus,126754,Gymnammodytes semisquamatus
156,647901,Sparus aurata,151523,Sparus aurata
157,170290,Brama brama,126783,Brama brama
158,641982,Caranx rhonchus,126806,Caranx rhonchus
159,92645,Saduria,118451,Saduria
160,171691,Callionymidae,125522,Callionymidae
161,51700,Aurelia,135263,Aurelia
162,173051,Pegusa lascaris,127156,Pegusa lascaris
163,166444,Syngnathus,126227,Syngnathus
164,167581,Liparis montagui,127220,Liparis montagui
165,166779,Sebastes viviparus,127255,Sebastes viviparus
166,631144,Lycodes gracilis,274100,Lycodes gracilis
167,567846,Macoma balthica,141579,Macoma balthica
168,51701,Aurelia aurita,135306,Aurelia aurita
169,51483,Scyphozoa,135220,Scyphozoa
170,97315,Homarus gammarus,107253,Homarus gammarus
171,98734,Carcinus maenas,107381,Carcinus maenas
172,97943,Lithodes maja,107205,Lithodes maja
173,623025,Gaidropsarus macrophthalmus,126456,Gaidropsarus macrophthalmus
174,96601,Alpheus,106978,Alpheus
