"","aphia","nhauls","species","class","perHaul","relMax","relSum"
"1",125930,43377,"Callionymus","Teleostei",47.83,0.59,0.16
"2",125999,18387,"Pomatoschistus","Teleostei",20.27,1.75,0.46
"3",125885,17145,"Argentina","Teleostei",18.9,1.4,0.36
"4",127419,8299,"Capros aper","Teleostei",9.15,11.1,2.89
"5",125741,6437,"Ciliata","Teleostei",7.1,0.02,0.01
"6",105732,5975,"Mustelus","Elasmobranchii",6.59,0.02,0
"7",125909,4037,"Ammodytes","Teleostei",4.45,0.13,0.03
"8",126421,3890,"Sardina pilchardus","Teleostei",4.29,0.92,0.24
"9",127219,2859,"Liparis liparis","Teleostei",3.15,0.01,0
"10",125537,2656,"Gobiidae","Teleostei",2.93,0.05,0.01
"11",125988,2437,"Gobius","Teleostei",2.69,0.07,0.02
"12",125743,2123,"Gaidropsarus","Teleostei",2.34,0.01,0
"13",126751,2003,"Ammodytes marinus","Teleostei",2.21,0.63,0.16
"14",125715,1993,"Alosa","Teleostei",2.2,0.01,0
"15",126460,1895,"Molva macrophthalma","Teleostei",2.09,0.01,0
"16",126505,1807,"Gasterosteus aculeatus","Teleostei",1.99,0.13,0.04
"17",398381,1734,"Coelorinchus caelorhincus","Teleostei",1.91,0.37,0.1
"18",150636,1686,"Eutrigla","Teleostei",1.86,0.09,0.02
"19",127261,1642,"Chelidonichthys lastoviza","Teleostei",1.81,0,0
"20",126160,1556,"Liparis","Teleostei",1.72,0.01,0
"21",126227,1500,"Syngnathus","Teleostei",1.65,0.04,0.01
"22",272392,1497,"Malacocephalus laevis","Teleostei",1.65,0.01,0
"23",126175,1406,"Sebastes","Teleostei",1.55,0.64,0.17
"24",711846,1326,"Dipturus intermedius","Elasmobranchii",1.46,0,0
"25",126904,1267,"Lesueurigobius friesii","Teleostei",1.4,0.01,0
"26",126761,1154,"Blennius ocellaris","Teleostei",1.27,0,0
"27",105762,1146,"Dipturus","Elasmobranchii",1.26,0,0
"28",125516,810,"Ammodytidae","Teleostei",0.89,0.16,0.04
"29",126835,767,"Cepola macrophthalma","Teleostei",0.85,0,0
"30",126180,713,"Trigla","Teleostei",0.79,0,0
"31",711847,668,"Dipturus flossada","Elasmobranchii",0.74,0,0
"32",127154,663,"Dicologlossa cuneata","Teleostei",0.73,0,0
"33",127380,541,"Hippocampus hippocampus","Teleostei",0.6,0,0
"34",151501,524,"Labrus mixtus","Teleostei",0.58,0,0
"35",126495,520,"Lepidion lepidion","Teleostei",0.57,0.06,0.02
"36",125522,508,"Callionymidae","Teleostei",0.56,0.03,0.01
"37",150629,506,"Echiichthys","Teleostei",0.56,0.01,0
"38",126178,399,"Chelidonichthys","Teleostei",0.44,0,0
"39",126473,393,"Nezumia aequalis","Teleostei",0.43,0.03,0.01
"40",271684,390,"Torpedo marmorata","Elasmobranchii",0.43,0,0
"41",126497,364,"Mora moro","Teleostei",0.4,0.01,0
"42",126328,350,"Synaphobranchus kaupii","Teleostei",0.39,0,0
"43",126482,342,"Trachyrincus scabrus","Teleostei",0.38,0.02,0.01
"44",126820,320,"Trachurus mediterraneus","Teleostei",0.35,0.08,0.02
"45",126858,317,"Epigonus telescopus","Teleostei",0.35,0,0
"46",298167,315,"Deania calceus","Elasmobranchii",0.35,0,0
"47",126404,296,"Hoplostethus mediterraneus","Teleostei",0.33,0.01,0
"48",272728,292,"Notoscopelus kroyeri","Teleostei",0.32,0,0
"49",127266,289,"Trigla lyra","Teleostei",0.32,0,0
"50",127047,284,"Boops boops","Teleostei",0.31,0.01,0
"51",125802,274,"Lophius","Teleostei",0.3,0,0
"52",126612,265,"Lampanyctus crocodilus","Teleostei",0.29,0,0
"53",127374,242,"Stomias boa","Teleostei",0.27,0,0
"54",105918,223,"Scymnodon ringens","Elasmobranchii",0.25,0,0
"55",126513,222,"Diplecogaster bimaculata","Teleostei",0.24,0,0
"56",105910,220,"Dalatias licha","Elasmobranchii",0.24,0,0
"57",271509,217,"Bathyraja brachyurops","Elasmobranchii",0.24,0,0
"58",126714,212,"Xenodermichthys copei","Teleostei",0.23,0,0
"59",125840,203,"Notacanthus","Teleostei",0.22,0,0
"60",127007,200,"Argyrosomus regius","Teleostei",0.22,0,0
"61",274100,190,"Lycodes gracilis","Teleostei",0.21,0,0
"62",273566,188,"Symphodus bailloni","Teleostei",0.21,0,0
"63",126131,187,"Pegusa","Teleostei",0.21,0,0
"64",1042830,187,"Chelon ramada","Teleostei",0.21,0,0
"65",125606,186,"Syngnathidae","Teleostei",0.21,0,0
"66",127085,184,"Aphanopus carbo","Teleostei",0.2,0.01,0
"67",126489,180,"Halargyreus johnsonii","Teleostei",0.2,0,0
"68",274967,180,"Argyropelecus olfersii","Teleostei",0.2,0,0
"69",126663,177,"Echiodon drummondii","Teleostei",0.2,0,0
"70",126627,172,"Myctophum punctatum","Teleostei",0.19,0,0
"71",125659,166,"Atherina","Teleostei",0.18,0,0
"72",126642,162,"Notacanthus bonaparte","Teleostei",0.18,0,0
"73",151353,161,"Perca fluviatilis","Teleostei",0.18,0,0
"74",105851,154,"Dasyatis pastinaca","Elasmobranchii",0.17,0,0
"75",126872,154,"Buenia jeffreysii","Teleostei",0.17,0,0
"76",273571,152,"Symphodus melops","Teleostei",0.17,0,0
"77",127011,150,"Umbrina canariensis","Teleostei",0.17,0,0
"78",158960,150,"Coryphaenoides rupestris","Teleostei",0.17,0.01,0
"79",151308,149,"Sander lucioperca","Teleostei",0.16,0,0
"80",127263,140,"Chelidonichthys obscurus","Teleostei",0.15,0,0
"81",125911,139,"Hyperoplus","Teleostei",0.15,0,0
"82",127378,135,"Macroramphosus scolopax","Teleostei",0.15,0,0
"83",126770,133,"Parablennius gattorugine","Teleostei",0.15,0,0
"84",126352,132,"Arctozenus risso","Teleostei",0.15,0,0
"85",127101,129,"Lycenchelys sarsii","Teleostei",0.14,0,0
"86",1044127,122,"Chelon auratus","Teleostei",0.13,0,0
"87",151174,117,"Scomber colias","Teleostei",0.13,0,0
"88",125498,115,"Myctophidae","Teleostei",0.13,0,0
"89",127057,112,"Pagellus acarne","Teleostei",0.12,0,0
"90",126831,106,"Centrolophus niger","Teleostei",0.12,0,0
"91",125589,105,"Cottidae","Teleostei",0.12,0,0
"92",126125,101,"Zeugopterus","Teleostei",0.11,0,0
"93",126508,96,"Spinachia spinachia","Teleostei",0.11,0,0
"94",126395,94,"Beryx splendens","Teleostei",0.1,0,0
"95",126129,91,"Microchirus","Teleostei",0.1,0,0
"96",126507,91,"Pungitius pungitius","Teleostei",0.1,0,0
"97",126394,82,"Beryx decadactylus","Teleostei",0.09,0,0
"98",127152,81,"Bathysolea profundicola","Teleostei",0.09,0,0
"99",127060,80,"Pagellus erythrinus","Teleostei",0.09,0,0
"100",127059,78,"Pagellus bogaraveo","Teleostei",0.09,0,0
"101",1517500,77,"Gobiiformes","Teleostei",0.08,0,0
"102",126034,75,"Mullus","Teleostei",0.08,0,0
"103",127128,75,"Arnoglossus thori","Teleostei",0.08,0,0
"104",127338,73,"Chauliodus sloani","Teleostei",0.08,0,0
"105",127309,70,"Argyropelecus hemigymnus","Teleostei",0.08,0,0
"106",105871,68,"Dipturus nidarosiensis","Elasmobranchii",0.07,0,0
"107",126127,68,"Buglossidium","Teleostei",0.07,0,0
"108",127300,68,"Polymetme corythaeola","Teleostei",0.07,0,0
"109",127393,67,"Syngnathus typhle","Teleostei",0.07,0,0
"110",154461,66,"Trigloporus","Teleostei",0.07,0,0
"111",151523,65,"Sparus aurata","Teleostei",0.07,0,0
"112",127021,61,"Sarda sarda","Teleostei",0.07,0,0
"113",126030,60,"Chelon","Teleostei",0.07,0,0
"114",126684,57,"Alepocephalus rostratus","Teleostei",0.06,0,0
"115",127041,56,"Serranus cabrilla","Teleostei",0.06,0,0
"116",125541,55,"Labridae","Teleostei",0.06,0,0
"117",126682,55,"Alepocephalus bairdii","Teleostei",0.06,0,0
"118",127063,54,"Pagrus pagrus","Teleostei",0.06,0,0
"119",158961,54,"Hymenocephalus italicus","Teleostei",0.06,0,0
"120",127022,53,"Scomber japonicus","Teleostei",0.06,0,0
"121",127246,52,"Scorpaena notata","Teleostei",0.06,0,0
"122",321911,50,"Tetronarce nobiliana","Elasmobranchii",0.06,0,0
"123",127159,49,"Solea senegalensis","Teleostei",0.05,0,0
"124",127228,49,"Paraliparis membranaceus","Teleostei",0.05,0,0
"125",127202,47,"Myoxocephalus scorpioides","Teleostei",0.05,0,0
"126",105901,46,"Centrophorus squamosus","Elasmobranchii",0.05,0,0
"127",280071,46,"Centroselachus crepidater","Elasmobranchii",0.05,0,0
"128",127071,45,"Chirolophis ascanii","Teleostei",0.05,0,0
"129",127186,44,"Salmo salar","Teleostei",0.05,0,0
"130",405451,42,"Gymnocephalus cernua","Teleostei",0.05,0,0
"131",105852,41,"Dasyatis tortonesei","Elasmobranchii",0.05,0,0
"132",126662,41,"Echiodon dentatus","Teleostei",0.05,0,0
"133",126961,41,"Centrolabrus exoletus","Teleostei",0.05,0,0
"134",280299,41,"Coelorinchus labiatus","Teleostei",0.05,0,0
"135",126306,39,"Nemichthys scolopaceus","Teleostei",0.04,0,0
"136",125824,38,"Lampadena","Teleostei",0.04,0,0
"137",105905,35,"Deania profundorum","Elasmobranchii",0.04,0,0
"138",105907,33,"Centroscymnus coelolepis","Elasmobranchii",0.04,0,0
"139",127257,33,"Trachyscorpia echinata","Teleostei",0.04,0,0
"140",126472,32,"Macrourus berglax","Teleostei",0.04,0,0
"141",105894,31,"Rajella fyllae","Elasmobranchii",0.03,0,0
"142",127248,31,"Scorpaena scrofa","Teleostei",0.03,0,0
"143",125992,30,"Lesueurigobius","Teleostei",0.03,0,0
"144",10327,29,"Syngnathiformes","Teleostei",0.03,0,0
"145",126023,29,"Symphodus","Teleostei",0.03,0,0
"146",126976,29,"Dicentrarchus punctatus","Teleostei",0.03,0,0
"147",105911,28,"Etmopterus princeps","Elasmobranchii",0.03,0,0
"148",127244,28,"Scorpaena loppei","Teleostei",0.03,0,0
"149",126957,27,"Acantholabrus palloni","Teleostei",0.03,0,0
"150",127425,27,"Cyttopsis rosea","Teleostei",0.03,0,0
"151",154776,27,"Hippocampus guttulatus","Teleostei",0.03,0,0
"152",125546,26,"Mugilidae","Teleostei",0.03,0,0
"153",126486,26,"Antimora rostrata","Teleostei",0.03,0,0
"154",126833,26,"Schedophilus medusophagus","Teleostei",0.03,0,0
"155",127201,26,"Micrenophrys lilljeborgii","Teleostei",0.03,0,0
"156",126481,25,"Trachyrincus murrayi","Teleostei",0.03,0,0
